TransactionID,Category
1,Other
2,Online
3,Travel
4,Travel
5,Other
6,Food
7,Food
8,Travel
9,Retail
10,Other
11,Other
12,Food
13,Other
14,Travel
15,Other
16,Other
17,Other
18,Travel
19,Food
20,Travel
21,Travel
22,Online
23,Travel
24,Retail
25,Travel
26,Other
27,Other
28,Online
29,Other
30,Retail
31,Food
32,Online
33,Other
34,Retail
35,Online
36,Retail
37,Food
38,Retail
39,Other
40,Other
41,Other
42,Retail
43,Online
44,Food
45,Online
46,Online
47,Food
48,Travel
49,Other
50,Online
51,Retail
52,Retail
53,Food
54,Online
55,Other
56,Retail
57,Travel
58,Food
59,Food
60,Retail
61,Travel
62,Travel
63,Other
64,Online
65,Other
66,Other
67,Retail
68,Other
69,Retail
70,Other
71,Online
72,Online
73,Travel
74,Travel
75,Other
76,Food
77,Travel
78,Other
79,Online
80,Retail
81,Travel
82,Online
83,Food
84,Online
85,Retail
86,Retail
87,Retail
88,Travel
89,Retail
90,Retail
91,Online
92,Food
93,Travel
94,Travel
95,Other
96,Retail
97,Other
98,Other
99,Online
100,Other
101,Food
102,Online
103,Retail
104,Travel
105,Other
106,Travel
107,Online
108,Online
109,Food
110,Other
111,Retail
112,Other
113,Online
114,Travel
115,Retail
116,Food
117,Travel
118,Retail
119,Retail
120,Retail
121,Retail
122,Retail
123,Other
124,Travel
125,Retail
126,Other
127,Other
128,Food
129,Food
130,Other
131,Other
132,Food
133,Retail
134,Food
135,Travel
136,Travel
137,Other
138,Online
139,Online
140,Travel
141,Retail
142,Other
143,Online
144,Online
145,Online
146,Food
147,Travel
148,Online
149,Travel
150,Other
151,Retail
152,Travel
153,Online
154,Online
155,Retail
156,Retail
157,Online
158,Food
159,Other
160,Food
161,Travel
162,Retail
163,Online
164,Other
165,Food
166,Travel
167,Travel
168,Online
169,Other
170,Other
171,Retail
172,Travel
173,Online
174,Retail
175,Online
176,Online
177,Other
178,Online
179,Food
180,Food
181,Other
182,Travel
183,Online
184,Retail
185,Online
186,Online
187,Retail
188,Other
189,Food
190,Travel
191,Retail
192,Retail
193,Food
194,Travel
195,Food
196,Travel
197,Retail
198,Online
199,Retail
200,Online
201,Other
202,Online
203,Retail
204,Online
205,Travel
206,Travel
207,Other
208,Travel
209,Food
210,Other
211,Online
212,Other
213,Food
214,Travel
215,Online
216,Retail
217,Travel
218,Online
219,Online
220,Online
221,Food
222,Online
223,Travel
224,Retail
225,Food
226,Food
227,Travel
228,Online
229,Other
230,Food
231,Online
232,Other
233,Online
234,Other
235,Retail
236,Retail
237,Online
238,Retail
239,Retail
240,Online
241,Other
242,Online
243,Food
244,Travel
245,Travel
246,Online
247,Retail
248,Other
249,Online
250,Retail
251,Retail
252,Food
253,Travel
254,Retail
255,Other
256,Retail
257,Food
258,Travel
259,Other
260,Online
261,Food
262,Retail
263,Food
264,Food
265,Food
266,Travel
267,Food
268,Retail
269,Travel
270,Travel
271,Other
272,Travel
273,Other
274,Travel
275,Online
276,Travel
277,Retail
278,Other
279,Food
280,Retail
281,Food
282,Travel
283,Retail
284,Other
285,Retail
286,Travel
287,Other
288,Online
289,Food
290,Travel
291,Retail
292,Retail
293,Travel
294,Other
295,Food
296,Travel
297,Retail
298,Retail
299,Travel
300,Other
301,Retail
302,Online
303,Travel
304,Retail
305,Food
306,Retail
307,Travel
308,Online
309,Food
310,Other
311,Travel
312,Retail
313,Online
314,Other
315,Travel
316,Other
317,Online
318,Retail
319,Food
320,Other
321,Food
322,Retail
323,Online
324,Retail
325,Online
326,Food
327,Other
328,Food
329,Food
330,Food
331,Other
332,Travel
333,Other
334,Other
335,Online
336,Retail
337,Other
338,Travel
339,Travel
340,Other
341,Food
342,Retail
343,Other
344,Other
345,Food
346,Food
347,Other
348,Online
349,Online
350,Online
351,Food
352,Food
353,Other
354,Travel
355,Retail
356,Online
357,Travel
358,Food
359,Travel
360,Online
361,Travel
362,Food
363,Online
364,Travel
365,Travel
366,Other
367,Travel
368,Online
369,Online
370,Other
371,Other
372,Other
373,Other
374,Travel
375,Retail
376,Food
377,Online
378,Food
379,Online
380,Other
381,Online
382,Food
383,Other
384,Other
385,Online
386,Food
387,Retail
388,Travel
389,Travel
390,Other
391,Food
392,Online
393,Retail
394,Food
395,Other
396,Food
397,Food
398,Online
399,Retail
400,Travel
401,Online
402,Other
403,Retail
404,Travel
405,Other
406,Online
407,Online
408,Food
409,Retail
410,Other
411,Food
412,Other
